Brand,Average Final Rankings,Number of Cars rated
Mazda,4.79,243016
Volvo,4.76,149151
Honda,4.75,1287405
Saturn,4.75,452
Lamborghini,4.73,3731
Lexus,4.72,464967
RAM,4.72,189153
BMW,4.71,943604
Jeep,4.71,663869
Ford,4.71,775482
Buick,4.71,111090
Scion,4.7,1726
Hyundai,4.7,275182
Kia,4.7,281182
Subaru,4.7,335888
Toyota,4.7,1074162
Audi,4.69,357606
MINI,4.69,8829
Nissan,4.69,286471
Bentley,4.68,3494
Chevrolet,4.67,430463
Dodge,4.67,151365
Acura,4.67,201636
Lincoln,4.67,164984
INFINITI,4.66,185676
Porsche,4.66,98507
Genesis,4.66,15146
Mercedes-Benz,4.65,774086
GMC,4.64,266500
Cadillac,4.62,274191
Alfa,4.6,33473
Mitsubishi,4.6,10832
Volkswagen,4.59,110884
Chrysler,4.57,30610
Jaguar,4.57,20500
Maserati,4.53,28112
Tesla,4.45,143322
Land,4.42,79624
FIAT,4.35,2472
Mercury,3.65,84
Ferrari,3.4,14
